amfi_code,scheme_name,alpha,beta
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.2698375144191807,0.023683558075848623
120505,ICICI Pru Midcap Fund - Regular - Growth,0.2926358334175106,0.000549004250631712
120843,Kotak Flexicap Fund - Regular - Growth,0.27330465038306057,-0.02282956979242654
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.2719535450128533,0.0051035258305283104
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.2119482701352573,0.016232169761417007
119094,Axis Midcap Fund - Regular - Growth,0.2607666908004223,-0.06626542862803757
119551,SBI Bluechip Fund - Regular Plan - Growth,0.23201007160635082,-0.03175144113890972
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2827036785246582,0.018133884083859245
101206,ABSL Frontline Equity Fund - Regular - Growth,0.21399784776051212,0.02108631625012803
119598,SBI Small Cap Fund - Regular Plan - Growth,0.3033696538698332,-0.023196062044059693
149323,DSP Midcap Fund - Regular - Growth,0.26598577542043045,-0.002523004664699247
149324,DSP Small Cap Fund - Regular - Growth,0.3005787817097677,0.011455159960520708
118632,Nippon India Large Cap Fund - Regular - Growth,0.21829397904608644,-0.008353832126962021
119552,SBI Bluechip Fund - Direct Plan - Growth,0.1986859936686296,-0.026159307513513405
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.17729754927531766,0.04882040425957739
118635,Nippon India ETF Nifty 50 BeES,0.1513635464823924,-0.001433521389780133
118633,Nippon India Large Cap Fund - Direct - Growth,0.15643835948169668,-0.03663900671860934
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.17048756803412696,-0.019486785689474526
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.17703302365844073,-0.0402689523698206
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.20873010086942337,-0.026387719943843004
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.1625385327998104,0.04189646272811977
120507,ICICI Pru Liquid Fund - Regular - Growth,0.06746210411099539,-0.0004440926329707234
119093,Axis Bluechip Fund - Direct - Growth,0.08232801295222093,0.02588321244009315
102887,UTI Flexi Cap Fund - Regular - Growth,0.16211256794033255,0.016682689437770827
149322,DSP Top 100 Equity Fund - Regular - Growth,0.13173190226099432,-0.004050271130006534
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11989100971217971,0.009054412621739154
120844,Kotak Liquid Fund - Regular - Growth,0.06455677495375998,-0.00040074423947840013
120841,Kotak Bluechip Fund - Regular - Growth,0.13042924450705445,0.036356399022199795
118634,Nippon India Small Cap Fund - Regular - Growth,0.1750072167561127,0.1034966369133759
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.05074772999976104,0.0012566742731558458
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.05620895216638369,-0.006413850728276477
101208,ABSL Liquid Fund - Regular - Growth,0.060861457957871144,0.00026670968338238433
100025,HDFC Short Term Debt Fund - Regular - Growth,0.042817920315060876,0.0011582183155281463
120842,Kotak Emerging Equity Fund - Regular - Growth,0.0780443887615508,0.01805687420811816
119599,SBI Small Cap Fund - Direct Plan - Growth,0.048824215945539845,0.06200180438267168
119092,Axis Bluechip Fund - Regular - Growth,0.0689952982167755,0.009730745001153637
101207,ABSL Small Cap Fund - Regular - Growth,0.10897091901704538,-0.06528924788351524
119095,Axis Small Cap Fund - Regular - Growth,0.048015953637759554,-0.066951174639292
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.03747580763443281,-0.0582684314388089
102886,UTI Mid Cap Fund - Regular - Growth,0.028969397866379445,-0.04212502902189432
