amfi_code,scheme_name,fund_house,cagr_3y,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,rank_3y_return,rank_sharpe,rank_alpha,rank_expense,rank_max_dd,composite_score
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,0.3400091602163293,1.4482911703262595,0.2698375144191807,1.46,-0.11265729075028275,97.5,100.0,85.0,45.0,82.5,86.25
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,0.317775371512347,1.1801011976606495,0.2926358334175106,1.36,-0.18188513572116294,90.0,90.0,95.0,65.0,40.0,82.25
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,0.2958277033726251,1.3067439695428407,0.27330465038306057,1.45,-0.1297396816518679,85.0,97.5,90.0,47.5,70.0,82.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,0.32442459421956116,1.0936987435346308,0.2719535450128533,1.38,-0.16217208574644848,92.5,85.0,87.5,60.0,52.5,80.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,0.3248742855621496,1.0265242847993004,0.2119482701352573,0.8,-0.12588275606922517,95.0,77.5,70.0,72.5,72.5,80.0
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,0.35111802096428524,0.9982309868636414,0.2607666908004223,1.38,-0.20960883862039192,100.0,75.0,80.0,60.0,32.5,77.0
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,0.3045652442030289,1.2082665673727175,0.23201007160635082,1.54,-0.1501238549864533,87.5,92.5,77.5,26.25,60.0,74.8125
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,0.2917890157839378,1.2349300257743296,0.2827036785246582,1.6,-0.1639674294693263,82.5,95.0,92.5,11.25,50.0,73.6875
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,0.2896769452874166,1.0272133278753697,0.21399784776051212,1.6,-0.11291596329323073,80.0,80.0,72.5,11.25,80.0,68.1875
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,0.2666992200118774,0.9453082575156093,0.3033696538698332,1.43,-0.2870600572176455,72.5,67.5,100.0,50.0,12.5,67.375
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,0.268699908289022,1.1321218524747245,0.26598577542043045,1.61,-0.17248105753451382,75.0,87.5,82.5,7.5,47.5,66.75
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,0.27000426614519246,0.9497958246616031,0.3005787817097677,1.52,-0.31171900300634214,77.5,70.0,97.5,36.25,10.0,66.6875
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,0.22652359830098634,1.0816591793457044,0.21829397904608644,1.51,-0.17414075086657232,67.5,82.5,75.0,41.25,45.0,66.5625
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,0.16267372294624916,0.9532794968660103,0.1986859936686296,0.66,-0.11803493502764295,45.0,72.5,65.0,92.5,75.0,66.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,0.18434488610520172,0.7757902498211207,0.17729754927531766,0.92,-0.15200013055606398,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,0.20008208380471482,0.6648569985490619,0.1513635464823924,0.89,-0.1165062450540909,60.0,55.00000000000001,45.0,70.0,77.5,59.0
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,0.2108997654925684,0.6452074382933215,0.15643835948169668,0.72,-0.18629743138595511,65.0,50.0,47.5,88.75,37.5,58.5625
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,0.1966726206830185,0.8170993373494368,0.17048756803412696,1.57,-0.1085986215250232,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,0.13978381933703043,0.7979728586052847,0.17703302365844073,1.42,-0.13897862823061635,40.0,60.0,60.0,52.5,67.5,53.625
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,0.14748035533586012,0.9262873467360146,0.20873010086942337,1.52,-0.1527259422823477,42.5,65.0,67.5,36.25,55.00000000000001,53.4375
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,0.1842199653744454,0.6488787755249532,0.1625385327998104,1.41,-0.1982565826298267,52.5,52.5,52.5,55.00000000000001,35.0,51.125
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,0.07394286300360076,0.4957233929533124,0.06746210411099539,0.74,-0.0009773140045925555,30.0,45.0,25.0,85.0,100.0,48.0
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.20816771175535864,0.12961449795669325,0.08232801295222093,0.75,-0.21751396370148224,62.5,30.0,32.5,82.5,25.0,47.625
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,0.25556187904126526,0.6195175900829828,0.16211256794033255,1.64,-0.21539827112383225,70.0,47.5,50.0,3.75,27.500000000000004,46.1875
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,0.18044206486636138,0.4640374492204777,0.13173190226099432,1.54,-0.14844576917771746,50.0,40.0,42.5,26.25,62.5,43.6875
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,0.11245222866621418,0.3006119210425478,0.11989100971217971,0.78,-0.21117279560132118,37.5,35.0,37.5,77.5,30.0,42.125
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,0.06695971624586994,-0.08874729621557331,0.06455677495375998,0.6,-0.0011629327956168556,27.500000000000004,17.5,22.5,95.0,97.5,41.125
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,0.1726727508371786,0.49427253786723496,0.13042924450705445,1.59,-0.1757361416468729,47.5,42.5,40.0,15.0,42.5,39.375
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,0.08007927728656083,0.4484340089089914,0.1750072167561127,1.53,-0.2334488614483311,35.0,37.5,57.49999999999999,31.25,22.5,38.3125
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,0.040622050237771434,-0.356629507514368,0.05074772999976104,0.55,-0.08316361763638702,20.0,7.5,15.0,100.0,87.5,34.625
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,0.05840358798463097,-0.22657538662791596,0.05620895216638369,0.77,-0.04328728923970093,22.5,10.0,17.5,80.0,90.0,33.75
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,0.06315784491375509,-0.8155673679088278,0.060861457957871144,0.79,-0.0016224980244717857,25.0,2.5,20.0,75.0,95.0,32.875
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,0.039163899571040384,-0.5670947928476847,0.042817920315060876,0.56,-0.04308263824636349,17.5,5.0,7.5,97.5,92.5,31.875
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,0.07756003551327284,0.07599984804658917,0.0780443887615508,1.56,-0.24003511326274884,32.5,27.500000000000004,30.0,20.0,20.0,27.625
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,-0.01337386614488112,-0.05718662582817997,0.048824215945539845,0.72,-0.5257422117012851,7.5,22.5,12.5,88.75,2.5,23.9375
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.005258871209757432,0.030784850954585913,0.0689952982167755,1.64,-0.1440161790933726,12.5,25.0,27.500000000000004,3.75,65.0,22.5625
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,-0.04152381044854481,0.1626607692864677,0.10897091901704538,1.53,-0.3544691649336603,5.0,32.5,35.0,31.25,7.5,22.0625
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-0.11705806723995271,-0.07597357117478923,0.048015953637759554,1.38,-0.5167775370852656,2.5,20.0,10.0,60.0,5.0,17.25
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,0.01292649342495622,-0.2015170675596694,0.03747580763443281,1.55,-0.24734440880673303,15.0,15.0,5.0,22.5,17.5,14.375
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-0.007674063178547241,-0.20583160785470314,0.028969397866379445,1.51,-0.2800112356639287,10.0,12.5,2.5,41.25,15.0,14.3125
