amfi_code,scheme_name,var_95,cvar_95
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.014363639988111142,-0.01806020763217176
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.003793246199522682,-0.004993763020560281
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.01901007293755803,-0.023455762770703794
101206,ABSL Frontline Equity Fund - Regular - Growth,-0.013271864790329367,-0.017439425687129195
101207,ABSL Small Cap Fund - Regular - Growth,-0.012170094221196553,-0.021168616122884894
101208,ABSL Liquid Fund - Regular - Growth,-3.7846720950584856e-06,-0.00018516155012062048
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.012604764576268778,-0.01549040525311211
102886,UTI Mid Cap Fund - Regular - Growth,-0.01922028344426503,-0.023250860269221213
102887,UTI Flexi Cap Fund - Regular - Growth,-0.015231617279157872,-0.019411182679158694
118632,Nippon India Large Cap Fund - Regular - Growth,-0.014033213254292137,-0.019453523775502912
118633,Nippon India Large Cap Fund - Direct - Growth,-0.013432994743068083,-0.016630178254004827
118634,Nippon India Small Cap Fund - Regular - Growth,-0.025524896128414874,-0.04415359888816808
118635,Nippon India ETF Nifty 50 BeES,-0.012553697284754662,-0.01617696049480912
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.002918628591458905,-0.011927774078577709
119092,Axis Bluechip Fund - Regular - Growth,-0.01370311076011208,-0.017327870956436054
119093,Axis Bluechip Fund - Direct - Growth,-0.014214623507462814,-0.01748670974901306
119094,Axis Midcap Fund - Regular - Growth,-0.018454444036764193,-0.02426005947837057
119095,Axis Small Cap Fund - Regular - Growth,-0.02627390369770896,-0.03681315161443002
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.003954897721218637,-0.017096820923347883
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.01288073270037106,-0.021280407146116457
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.013513895876356031,-0.019801344583961517
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.02455616366752399,-0.04179108987669804
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.019132771480754096,-0.026801941996902685
120503,ICICI Pru Bluechip Fund - Regular - Growth,-0.01357026569592416,-0.019309289158957237
120504,ICICI Pru Bluechip Fund - Direct - Growth,-0.013773401744632329,-0.02850915499143675
120505,ICICI Pru Midcap Fund - Regular - Growth,-0.01895009705442069,-0.036327933240605605
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-0.014379212636332073,-0.01940489860249691
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.00022139809753287109,-0.00037258039979649643
120841,Kotak Bluechip Fund - Regular - Growth,-0.013188288335925124,-0.024577141272332778
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.018200105304692203,-0.02272497526268088
120843,Kotak Flexicap Fund - Regular - Growth,-0.014552758629829165,-0.02270899189731834
120844,Kotak Liquid Fund - Regular - Growth,-0.00023904305993229235,-0.000386818265025062
125497,HDFC Top 100 Fund - Direct Plan - Growth,-0.01463442435202688,-0.032512877201407546
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.018346321335174914,-0.02309379305316794
148567,Mirae Asset Large Cap Fund - Regular - Growth,-0.0135950206101617,-0.032441581411273415
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.014711531333512795,-0.01876476958423089
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-0.01714839047741403,-0.034765399648843065
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.014481484808261924,-0.03495128161636511
149323,DSP Midcap Fund - Regular - Growth,-0.018039394718693397,-0.03854431107194612
149324,DSP Small Cap Fund - Regular - Growth,-0.023577106442633444,-0.04694284183841475
